gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Lyz2,0.029790781299038713,0.5224492851145222,1,1,1
Plcb4,0.03236167603024678,-0.7282606234218658,1,1,1
P2ry12,0.0329114092838238,-0.5752352137791137,1,1,1
Siglech,0.033681860739675516,-0.2938388785059636,1,1,1
Pfkp,0.034602948323429764,-0.37435289989183174,1,1,1
Ctsb,0.03468241274369847,0.3345877411098277,1,1,1
Itk,0.03562161153320905,0.16387453798349383,1,1,1
Rhob,0.03604454086287308,-0.40522938146683485,1,1,1
Naga,0.037331567190038606,0.18233819360982606,1,1,1
Selplg,0.03749361799211121,-0.44340708588157174,1,1,1
Chst11,0.03874869225047795,0.2621550967615045,1,1,1
Apod,0.0408074238328385,0.5284956390679261,1,1,1
Hmox1,0.04131179069553298,0.29241217929549457,1,1,1
Cd14,0.04164792748397365,0.1547919499621928,1,1,1
Fxyd5,0.04274731244054991,0.256421035289949,1,1,1
Cd44,0.044272729318413896,0.42344243440067797,1,1,1
Myo1e,0.04553631691140668,0.4908879195577036,1,1,1
Jund,0.04579558017033237,-0.38893207080473147,1,1,1
Msr1,0.04623914799936959,0.383385593211576,1,1,1
Lpcat2,0.04901043389739454,-0.4204358385796496,1,1,1
Cbs,0.04969446871743495,-0.5130855768815946,1,1,1
Pdha1,0.05018099651185527,-0.43483977631485704,1,1,1
Ppt1,0.051914620548055936,0.22654899517623228,1,1,1
Ndnf,0.052935347406911255,-0.7503784761296395,1,1,1
Aldh3b1,0.053510005295871355,0.10028436298148713,1,1,1
Pmm1,0.05517686183138552,-0.40535698476311,1,1,1
Slc17a6,0.057213505870715275,-0.765582063874672,1,1,1
Fabp5,0.05848056264563832,0.24952604643407028,1,1,1
Trh,0.05902838303564167,-0.9024686424156966,1,1,1
Ndufs1,0.05950130092207877,-0.34328394709747556,1,1,1
Bhlhe41,0.060119914432055076,0.09315888618870716,1,1,1
Sdha,0.062140479717942634,-0.2429531051583238,1,1,1
Clec2d,0.06302949786252324,0.365155051195033,1,1,1
Acat1,0.06529842214600531,-0.30130735459039393,1,1,1
Aldh2,0.067250354709955,0.13485666972902433,1,1,1
Gls,0.06771238226908619,-0.33924541962045573,1,1,1
Ogdhl,0.06772223668452874,-0.3579944063721263,1,1,1
Egr1,0.07036322982236799,-0.975739663784061,1,1,1
Vegfa,0.07332300134153785,0.3032619302047066,1,1,1
Pdcd1,0.07646452148588441,0.2928369273685938,1,1,1
Acaca,0.0793656802465432,0.230738225830311,1,1,1
Hk1,0.07945605372786825,-0.3471971988577236,1,1,1
Rxrb,0.08019796559795273,-0.2939672534663118,1,1,1
Apoc1,0.08110758290996563,0.46711999716923336,1,1,1
Ckb,0.08159502007478915,-0.36624526847043803,1,1,1
Tgfbr1,0.08389977150171175,-0.3776679155603677,1,1,1
Plpp4,0.08422701663761209,0.09764322663600589,1,1,1
Apoc2,0.08479735449876868,0.5398242275962852,1,1,1
Arhgap5,0.0848517419760644,-0.25387071050171084,1,1,1
Pomgnt1,0.08532780523309082,-0.3801856926835603,1,1,1
Cstb,0.08632143007884643,0.179672723416056,1,1,1
Dpm1,0.08698424583635699,-0.26756723300888474,1,1,1
Cat,0.0888476633900075,0.12625597525412635,1,1,1
Cux2,0.08969671252208175,-0.5709232091462995,1,1,1
Ids,0.09037016628848135,-0.4072422697949669,1,1,1
Cbr1,0.0903951848184861,-0.35940405201334413,1,1,1
Lhx6,0.09041607636332367,-0.5154244582194711,1,1,1
Ldha,0.09088255371785957,0.12351588142177317,1,1,1
Mif,0.0916627215004655,0.2845846235191202,1,1,1
Serping1,0.09310490148701357,0.6964284694290956,1,1,1
