gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Tmem119,9.854615100204625e-4,-0.3734390821532392,1,1,0.47302152480982196
rs429358-WT-228,0.003654919180459267,0.9418706889975943,1,1,1
Csf1,0.009980171679444027,0.3427161200543556,1,1,1
Pdgfra,0.010693131236217936,-0.40389633348118426,1,1,1
rs7412-ALT-226:T,0.01871347032771579,0.6953007791892705,1,1,1
Ifit1,0.02508112663038832,0.6671175253334394,1,1,1
Hk2,0.0279868349600299,0.19720202048355917,1,1,1
Tph2,0.03082887991860062,-0.6869734327479613,1,1,1
Pllp,0.03431386029720676,-0.34743321566739116,1,1,1
Nts,0.037904114727707515,0.33085298760390425,1,1,1
P2ry12,0.05759158996144502,-0.10990875918875975,1,1,1
Gja1,0.05946661678409839,-0.3237397078550712,1,1,1
Pygb,0.06192831342606718,-0.12647435058527723,1,1,1
Agt,0.08404094231349991,-0.5086123255234483,1,1,1
Tpsb2,0.08405679892685375,-0.5521096189045656,0.75,1,1
Lypd1,0.08561950499863255,-0.5368464701581055,1,1,1
Grn,0.08697699980317444,0.18799956007849516,1,1,1
Dnah11,0.09640534195673661,-0.5904606072761958,1,1,1
Ttr,0.10269125809218986,-1.1595414505696935,1,1,1
Gzmb,0.10611956467650754,0.02414625882748589,1,1,1
Plpp3,0.1107289207103666,-0.2879692625499328,1,1,1
Idh2,0.14424933255133227,-0.1468205230662103,1,1,1
Fut8,0.155502489900595,-0.16385757734428763,1,1,1
Vcam1,0.16935896491731695,0.1498139621625456,1,1,1
Lgals3bp,0.17238334965946847,0.6930135018872869,1,1,1
Ndufs1,0.18267109030296053,-0.15143096045400029,1,1,1
Hmox1,0.1856268490857834,0.18521834054626218,1,1,1
Tjp1,0.19646685006404532,-0.1615652773188696,1,1,1
Cers2,0.19945065360364087,0.09360605414915124,1,1,1
Ctsd,0.20748300312911747,0.11714256149660862,1,1,1
H2-Eb1,0.21126428381942436,0.38063447044200344,1,1,1
Fasn,0.216210215742596,-0.17941576314477992,1,1,1
Mgp,0.2162184060109702,0.03297732703764161,1,1,1
Sat1,0.22143084521992576,0.09396322622796394,1,1,1
Jund,0.22302212815968106,-0.2046648019057744,1,1,1
Ptgds,0.22600220889326553,0.229714327386904,1,1,1
Ly86,0.2292292671759597,0.1512120445892684,1,1,1
Pla2g15,0.23064920974479797,0.11792171992893064,1,1,1
Pla2g12a,0.23209815722149663,-0.27686536182116317,1,1,1
Pthlh,0.23505705470105898,-0.21291524744123191,1,1,1
Wif1,0.23601149156529777,-0.4842747505141496,1,1,1
Aspa,0.24317399077662977,-0.3422372752508986,1,1,1
Ftl1,0.24992040751318242,0.12396623282273733,1,1,1
Pgm2,0.25294798230888904,-0.2974600655162336,1,1,1
Tshz2,0.25365750414003824,-0.27200020545205295,1,1,1
Hexa,0.25484421739195406,0.09874550359267964,1,1,1
