gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Lgals3bp,0.005253379387486903,0.5098643807870529,1,1,1
Cnr1,0.009620059070983327,1.038858566200057,1,1,1
Ccl12,0.00988012118959407,0.874229882391434,1,1,1
rs7412-ALT-226:T,0.011514183894620418,1.0323866209407528,1,1,1
Slc17a7,0.01182883472595993,0.438668227359603,1,1,1
H2-Eb1,0.015082230911136318,1.176552069067057,1,1,1
Ifit2,0.0160351062064294,0.9631555942349328,1,1,1
Aqp4,0.017690092888126892,-0.5108156195135125,1,1,1
Spp1,0.01949263470869066,0.44927755590488694,1,1,1
Sst,0.023750160238399595,1.2135198246382548,1,0.667,1
Agt,0.026629510094836623,-0.6471031773267755,1,1,1
Atp1b2,0.02768398444645544,-0.3561432163995928,1,1,1
Slc7a10,0.027972972945869222,-1.0904939311898822,1,1,1
rs429358-WT-228,0.0382736262127319,1.5196918675432736,1,1,1
Mbp,0.055199401629450195,-0.4192378916914974,1,1,1
Ifit1,0.07237665060488006,0.66527158172331,0.75,0.667,1
Got2,0.08490893554952894,0.3411481096710949,1,1,1
Fads2,0.085281767513106,-0.2973122494542171,1,1,1
Gja1,0.08606043609260396,-0.45139278010568207,1,1,1
Serpina3n,0.09005334925422571,-0.3732915774904937,1,1,1
Vip,0.09288652926427872,0.7345089048383672,1,0.667,1
Cd74,0.09372485962818292,0.6379446599438365,1,1,1
Cxcl2,0.0965555982037525,1.1599270909123867,1,1,1
Ccl5,0.10448003906802103,0.44172948872906964,0.75,1,1
H2-Ab1,0.11135703678385239,0.5049809215590559,1,1,1
Aldoc,0.11220606967264217,-0.2327601122707792,1,1,1
Ckb,0.11393288108823806,-0.2871835768756723,1,1,1
Fdft1,0.11523838849362636,0.31214806613291834,1,1,1
App,0.11650907977043924,0.3475973307550584,1,1,1
Tubb2b,0.12787209671342234,0.47908489594184456,1,1,1
Cpe,0.13757409467286094,-0.25402652522006264,1,1,1
Gzmb,0.1390908612867302,-0.7800972873468401,0.75,0.667,1
Klrb1c,0.13934818437419141,-1.0122698923843882,0.75,1,1
Cxcl10,0.14149800775491628,0.5348568969539994,1,1,1
Snap25,0.14334122625048015,0.2688752771925742,1,1,1
Gad1,0.14792749462694035,0.32504509096886214,1,1,1
Rorb,0.15620873817714956,-0.3962708564182795,1,1,1
Aldh9a1,0.16210704145214497,-0.6001427319035382,1,1,1
Pgls,0.16793324331108342,-0.7621992525532313,0.75,1,1
Rxra,0.1712098238561998,0.903577361175664,1,1,1
Serpina3a,0.17982413939996775,0.5574710371938578,1,0.667,1
Cd14,0.18444650841110705,-0.29894714443973047,1,1,1
Acod1,0.1869894604588665,0.8674890137874252,1,0.667,1
Fezf2,0.18993811234230729,0.5472468636192851,1,1,1
Ifitm3,0.19700669598046877,0.832689770831545,1,1,1
Got1,0.19862754001528635,0.25194753212220267,1,1,1
Dgat2,0.2041724409889774,0.4592945590443771,1,1,1
Rhob,0.2067229111250082,-0.3492189049994354,1,1,1
