gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Lhx6,0.004937510635620357,-0.6736859368964716,1,1,1
Ctsd,0.005225413257187525,0.294712996476008,1,1,1
Hexa,0.005385547618939747,0.3599450917547351,1,1,1
Dcx,0.0058263885004181185,-0.7352487958402726,1,1,1
Pomgnt1,0.006561772576820056,-0.5171732379702338,1,1,1
Msr1,0.00704660711133509,0.5692043042316018,1,1,1
Glud1,0.0071092679463654156,-0.3509176638322984,1,1,1
Got1,0.007288332351658829,-0.47395359590808894,1,1,1
Cstb,0.008072186282795957,0.31194503387785844,1,1,1
Arsb,0.00824878857833467,0.14977411643424432,1,1,1
Pdcd1,0.008687967270720631,0.5477303878155908,1,1,1
Slc17a7,0.009315231447900956,-0.7608781503633368,1,1,1
Lpl,0.010193312329351879,0.780801773995413,1,1,1
App,0.010253514052851208,-0.5757647754751885,1,1,1
Cerk,0.010647763659115855,0.06993336805222494,1,1,1
Lgals3,0.0120437677761239,0.9768444099470294,1,1,1
P2ry12,0.01306031857951498,-0.6415784164414271,1,1,1
Pfkp,0.013085521111497455,-0.5278806745083204,1,1,1
Bcl2a1b,0.013377388355920004,0.38222391522327115,1,1,1
Gls,0.013567983766071667,-0.45040017409254407,1,1,1
Aldh2,0.01362171612984022,0.27110397515018025,1,1,1
Hif1a,0.013891968314470805,0.375617158003263,1,1,1
Ftl1,0.01390394660107185,0.38744002058624893,1,1,1
Ifit2,0.014020879297397306,0.5748902909312137,1,1,1
Sgpl1,0.014339242778782355,0.24568496238585258,1,1,1
Hk1,0.014979417978654411,-0.5151322774633567,1,1,1
Dpm1,0.01528207763960946,-0.3122786458987803,1,1,1
Adam10,0.015317742267015664,-0.3041689205958802,1,1,1
Calb2,0.01571774381828604,-1.3880429746338945,1,1,1
Apoc2,0.01614118273702338,0.7941274694789406,1,1,1
Plin2,0.01663021857947049,0.5878586537732322,1,1,1
Mif,0.01693672336557382,0.466023388287428,1,1,1
Reln,0.017397377755909063,-0.44577072698610976,1,1,1
Cd14,0.018782398647135018,0.26302042306941775,1,1,1
Cd74,0.019396691649518773,0.9176879302481922,1,1,1
Pfkfb3,0.019790327399901723,0.17954856978672762,1,1,1
Apoe,0.021349070023994506,0.6066303686045613,1,1,1
Naga,0.021436921085455175,0.2677808335469507,1,1,1
Trem2,0.02193257322306217,0.3095362735238245,1,1,1
Gns,0.022181245252179554,0.174256037202551,1,1,1
