p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,4.3834349890613105,0.934,0.116,0,0,Mag
0,3.546158273282368,0.968,0.154,0,0,Mog
0,3.780324731486199,0.912,0.139,0,0,Aspa
0,3.428916400900024,0.973,0.215,0,0,Ermn
0,3.402169756525149,0.987,0.291,0,0,Cldn11
0,2.1408300044565856,0.97,0.301,0,0,Apod
0,3.2332558354542895,0.962,0.299,0,0,Pllp
0,1.4411797911627975,0.802,0.3,0,0,Ptgds
0,2.268402489431962,0.715,0.215,0,0,Folh1
0,2.379942923959393,0.886,0.425,0,0,Cers2
0,1.7203269481772478,0.869,0.436,0,0,Phgdh
0,2.3000962047327644,0.662,0.244,0,0,B3galt5
0,2.0383880195464887,0.678,0.267,0,0,St6galnac3
0,1.7929307724200416,0.587,0.224,0,0,Elmo1
0,2.113278007951838,0.643,0.291,0,0,Elovl1
0,2.1714228120935974,0.963,0.617,0,0,Lap3
0,1.679219466924976,0.679,0.336,0,0,Csf1
0,1.150351420612912,0.873,0.558,0,0,Srebf1
0,2.529248823372931,0.449,0.137,0,0,Plin4
0,3.5526577131079007,0.999,0.687,0,0,Gatm
0,1.9107028302275384,0.941,0.639,0,0,Taldo1
0,1.4999033486395712,0.785,0.484,0,0,Abcg1
0,1.6499630761768813,0.919,0.642,0,0,Rhob
0,1.2771275580261032,0.739,0.47,0,0,Degs1
0,1.6802835148010904,0.951,0.686,0,0,Bpgm
0,1.5663650396362878,0.932,0.669,0,0,Slc32a1
0,0.9656364734118139,0.611,0.387,0,0,Acadl
0,1.2269803795739203,0.455,0.24,0,0,Myo1e
0,1.167687127159756,0.56,0.346,0,0,Hmgcl
0,1.4905566921749476,0.38,0.184,0,0,G6pd2
0,1.4924078875833078,0.323,0.134,0,0,Pla2g4a
0,0.38999938854046334,0.944,0.767,0,0,Cd63
0,0.2766082022087988,0.671,0.507,0,0,Abca1
0,0.9241646136183926,0.25,0.087,0,0,Tgfbi
0,2.021725952903813,0.237,0.08,0,0,Plin3
0,0.6329527684849192,0.765,0.616,0,0,Lta4h
0,0.47854197338762816,0.895,0.751,0,0,Bhlhe41
0,0.6822021591493593,0.647,0.503,0,0,Cerk
0,1.6561138787521994,0.224,0.082,0,0,Aldh3b1
0,0.47452869858335855,0.926,0.784,0,0,Gfap
0,1.5746185800411894,0.993,0.862,0,0,Bin1
0,0.48473985780528017,0.735,0.61,0,0,Cstb
0,0.46372687790196276,0.749,0.624,0,0,Nr1h2
0,0.4674377968095347,0.489,0.367,0,0,Serpina3n
0,0.5017046058512908,0.923,0.805,0,0,Hadha
0,0.250417143478181,0.909,0.793,0,0,Gstm1
0,0.5463044627417748,0.465,0.355,0,0,Lipa
0,0.5774399599373133,0.519,0.416,0,0,Adh5
0,0.23708364484242894,0.958,0.855,0,0,Lpgat1
0,0.859532583181924,0.275,0.173,0,0,Acaa1a
0,0.45819074014331296,0.618,0.516,0,0,Acaca
0,3.22082892634542,1,0.901,0,0,Mbp
0,0.6271785056694887,0.46,0.363,0,0,Pycr2
0,0.37869249445459285,0.912,0.817,0,0,Hadhb
0,0.7251828664877016,0.304,0.212,0,0,Ebp
0,0.4833580483394,0.524,0.435,0,0,Bace1
0,0.8080811956353815,0.199,0.121,0,0,Vldlr
0,0.2074424558950736,0.914,0.846,0,0,Fasn
0,0.38679216809514316,0.162,0.096,0,0,Pou3f1
0,0.44308929455837687,0.971,0.912,0,0,Echs1
0,1.3904770112027327,0.096,0.039,0,0,Camp
0,0.4190824976626262,0.987,0.933,0,0,Tjp1
0,1.4896932721989429,0.079,0.029,0,0,Cd247
0,1.330877021148226,0.079,0.032,0,0,Ms4a4b
0,1.365744026262155,0.079,0.032,0,0,Tdo2
0,0.3675670853640933,0.987,0.947,0,0,Fabp5
0,0.2575044729486451,0.98,0.942,0,0,Ptges3
0,0.7319199804096277,0.998,0.961,0,0,Cd81
0,1.2915556860459665,0.999,0.962,0,0,Glul
0,0.46914519591901316,0.99,0.954,0,0,Ftl1
0,0.7150332229472447,0.997,0.968,0,0,Tkt
0,0.21770581097083674,1,0.977,0,0,App
0,1.3108601592248532,1,0.978,0,0,Prdx1
0,0.1268395745863664,1,0.999,0,0,Tmsb4x
0,0.4008123045340337,1,1,0,0,Ubc
4e-323,0.5907305355554254,0.214,0.146,1.897e-320,0,Dpyd
7.009e-320,0.9159372830658978,0.106,0.059,3.3642313e-317,0,Cpt1b
4.977137768480936e-295,0.26453039409910195,0.935,0.909,2.389026128870849e-292,0,Dlat
8.04379560136653e-283,0.1841677539281048,0.787,0.705,3.8610218886559344e-280,0,Pcx
6.06116518361368e-282,0.366305470199339,0.501,0.427,2.9093592881345666e-279,0,Cat
3.099906700886289e-230,0.252561271650076,0.738,0.686,1.4879552164254187e-227,0,Aldh7a1
2.49927527794441e-226,0.3283779519218336,0.488,0.424,1.1996521334133169e-223,0,Prps2
6.163399899797219e-225,0.4045936419385171,0.244,0.183,2.9584319519026654e-222,0,Ifit2
1.1699672069238049e-204,0.2016008895348913,0.768,0.703,5.615842593234264e-202,0,Stt3a
1.4624360515773253e-185,0.1363203677732141,0.93,0.88,7.019693047571161e-183,0,Gclm
5.642473789277682e-161,0.8106480332825399,0.052,0.028,2.7083874188532874e-158,0,Mki67
5.105203244595757e-155,1.2686611193082626,0.025,0.01,2.4504975574059633e-152,0,Acod1
4.620326534729243e-152,0.3045812894097788,0.492,0.442,2.217756736670037e-149,0,Aldh9a1
1.5798730544567307e-141,0.9454226473269505,0.037,0.019,7.583390661392308e-139,0,Nkg7
2.64682431841838e-141,0.12034485963844066,0.819,0.757,1.2704756728408225e-138,0,Galnt1
4.5357019580015734e-139,0.5202492722011978,0.103,0.07,2.1771369398407554e-136,0,Adamts2
4.791483939566456e-117,1.0944237305572893,0.025,0.012,2.299912290991899e-114,0,Serpina3a
6.6067731780454985e-105,0.2267008595144997,0.053,0.033,3.1712511254618393e-102,0,Clec10a
3.0664988979210615e-76,0.22994276458953564,0.354,0.315,1.4719194710021094e-73,0,Acsl1
1.0019971815047676e-75,0.9622419297472344,0.019,0.01,4.8095864712228843e-73,0,Gzmb
6.4961446089255e-72,0.5535832009700687,0.056,0.039,3.11814941228424e-69,0,Apoc2
3.040494877905942e-71,0.24711372774474327,0.071,0.051,1.4594375413948522e-68,0,C3
6.044151673153316e-42,0.20767574675905276,0.125,0.105,2.9011928031135918e-39,0,Pvalb
1.2201877473893133e-28,0.19053083790053352,0.339,0.32,5.856901187468703e-26,0,Sptlc2
5.16484711348591e-23,0.3224840980719108,0.051,0.041,2.4791266144732368e-20,0,Apoc1
1.3225552384436312e-14,0.28791209160188025,0.04,0.033,6.34826514452943e-12,0,Cr2
