gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Aldh2,0.2440871685674289,-0.1920633718637017,1,1,1
Dcx,0.24475990686096055,-0.49405081348204916,1,1,1
Calb2,0.2457905747724466,-0.3119394136099307,1,1,1
Tmem119,0.24950540032495333,-0.17375397126646952,1,1,1
Abca1,0.24975930288073256,0.15962804285305054,1,1,1
St3gal6,0.2545673618251131,0.14625777841616916,1,1,1
Slc47a1,0.2578694902583315,0.1461648742049111,1,0.667,1
C3,0.2683851256528577,0.24989877072683833,1,1,1
Hkdc1,0.2763239767434543,-0.3966782866956877,1,1,1
Rorb,0.28179432587542685,-0.29064000081938823,1,1,1
Adcy5,0.28444281082166073,0.17530250257396807,1,1,1
Cd44,0.28991807603792835,-0.3386817615337405,1,1,1
Cst7,0.2926381567786055,-0.14275131043594325,1,1,1
Aqp4,0.29362291743974533,-0.1924196295639522,1,1,1
Stard8,0.29979178215296126,0.15404802909457627,1,1,1
B4galt1,0.3028766182089868,0.12281521819660313,1,1,1
Lamp5,0.30983757531798634,-0.2745641768547453,1,1,1
Lap3,0.3137449251245141,0.14605165786805374,1,1,1
Htra1,0.31501549367206655,0.22071389613974501,1,1,1
Sgms1,0.31630924769240937,0.19004535308610526,1,1,1
Plcb4,0.32010971346355643,-0.20408075945491477,1,1,1
Hk2,0.32227009838251147,0.17413315533872709,1,1,1
Ids,0.3243571649619465,0.1366335004426471,1,1,1
Cxcl10,0.3274269958010734,0.21025327550930553,1,1,1
Agt,0.33302098742003083,-0.4039588003751328,1,1,1
Trh,0.33469769749815753,-0.47309030503838545,1,1,1
Sst,0.33533774388970683,-0.40911422141176523,1,1,1
Hadha,0.3362186626136916,-0.14133628668392717,1,1,1
Glul,0.3410633332084341,-0.10756662308906773,1,1,1
Fads2,0.34479625206922615,-0.12589013769900426,1,1,1
Hbb-bs,0.356927305581265,0.5988929902909446,1,1,1
Ccl2,0.36159731728820754,0.433913686550112,1,1,1
Egr1,0.36496768473806523,-0.47587789463085595,1,1,1
Pygb,0.3655284822502047,-0.08198068273176418,1,1,1
Ganc,0.36559997231745356,0.09766597066190141,1,1,1
Clu,0.366596436033568,-0.09817882056447935,1,1,1
Ccl4,0.36970997161339725,-0.25719658664428546,1,1,1
Pycr2,0.3722417370909288,-0.18199928861648207,1,1,1
Acsl6,0.37360671446016097,-0.10332067571546677,1,1,1
Cad,0.3737011788053876,-0.23699831584911962,1,1,1
Pvalb,0.3739511170679554,-0.36635059194598313,1,1,1
Tjp1,0.3753697891677907,-0.0913744049347347,1,1,1
Cat,0.3791824577383106,0.17540815327870218,1,1,1
Axl,0.3793380122957636,0.10895142626070875,1,1,1
Hk1,0.3830836542043866,0.1385676834510683,1,1,1
Aldh7a1,0.38440251957310045,-0.09334604043374428,1,1,1
Cd14,0.3879593984266033,-0.10649622921603008,1,1,1
Gja1,0.3892242764947428,-0.13866426677267496,1,1,1
Dnah11,0.39250803227664754,-0.5860515725576898,0.75,1,1
