gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ccl12,6.303308541430929e-8,1.3212319599744298,1,1,3.025588099886846e-5
Lgals3bp,1.2318671480868082e-5,0.8591422379167755,1,1,0.00591296231081668
Mki67,1.9988600993029576e-5,-1.0042379749017032,1,1,0.009594528476654197
Ifit2,1.924169965157997e-4,1.9069363692241552,1,1,0.09236015832758386
rs429358-WT-228,6.166810350182701e-4,1.8639404836141016,1,1,0.2960068968087696
Csf1,6.295023699702956e-4,0.8601099067346358,1,1,0.30216113758574187
Hmgb2,0.002863260126668255,-0.8395213918423421,1,1,1
Cd74,0.003979180895859096,0.7607649290878395,1,1,1
Acod1,0.005184422984055343,2.128416845178842,1,0.667,1
Clec2d,0.006352309192227307,0.7451528121600117,1,1,1
rs7412-ALT-226:T,0.007311772910575906,0.7654119074508223,1,1,1
Ifit1,0.007371328935852169,1.7909280695650573,1,1,1
Ltc4s,0.008759117700455395,-0.8261845983464471,1,1,1
Plac8,0.010176225466998548,1.6374195540900032,1,0.667,1
Vcam1,0.010272636201147965,0.835208178291508,1,1,1
Hbb-bs,0.01140817363347179,2.973064450449972,1,0.667,1
Lap3,0.018252965244108275,0.6424565074863855,1,1,1
Lta4h,0.0197950403538139,-0.8454223830740402,1,1,1
Axl,0.02397095994157603,0.672482144314003,1,1,1
Cxcl10,0.02761146402038655,1.248207917191178,1,1,1
Lrp1,0.02839264144239402,-0.46648056085111556,1,1,1
Htra1,0.028590186168342805,0.5685770731998465,1,1,1
C3,0.02943822307177249,1.208518789096946,1,1,1
Ifitm3,0.030636404541271547,1.1747993158933907,1,1,1
Apod,0.03457639724206594,1.152712652249488,1,1,1
Icam1,0.03508841262535525,0.8208024067797872,1,1,1
Pfkfb3,0.04097009718861191,0.47293543229381285,1,1,1
Grin2a,0.042210008356556854,0.960525743128728,1,1,1
Selplg,0.04286603066304013,-0.47011053419028137,1,1,1
Bhlhe40,0.046268937594259894,-0.7933548982521601,1,1,1
Adss,0.046727056253914066,-0.7133437876386739,1,1,1
Gusb,0.04692380448406142,-0.47283559395205543,1,1,1
Gpx1,0.04806421468541571,-0.3873844401459312,1,1,1
Msr1,0.0489984868177306,1.2276153880260512,1,1,1
