#Selection names: 4s2_F1, 4s2M_F2, 4s2M_F1
#Areas (µm^2): 27180097.8, 14559513.7, 26957824.5
Selection,X,Y,Class,Color
4s2_F1,2029.7359773215112,6707.720484183692,samples,#c2c2c2
4s2_F1,1690.3868496193957,6751.037848819966,samples,#c2c2c2
4s2_F1,1342.4189060669698,6791.943731301231,samples,#c2c2c2
4s2_F1,944.0331226440761,6744.741200970777,samples,#c2c2c2
4s2_F1,752.856176244188,6671.50359478161,samples,#c2c2c2
4s2_F1,658.5404297371648,6552.447827647273,samples,#c2c2c2
4s2_F1,580.1226026224238,6401.730192959202,samples,#c2c2c2
4s2_F1,498.6234371985055,6165.270970537478,samples,#c2c2c2
4s2_F1,457.3156410247377,6048.4927143273135,samples,#c2c2c2
4s2_F1,383.4528357583481,5900.365190102031,samples,#c2c2c2
4s2_F1,253.94731261896948,5623.312684737652,samples,#c2c2c2
4s2_F1,145.7432151821728,5336.301651214623,samples,#c2c2c2
4s2_F1,109.83892531870345,5156.11034574311,samples,#c2c2c2
4s2_F1,73.80066422440065,4866.28591637257,samples,#c2c2c2
4s2_F1,190.57605377646,4877.616785032906,samples,#c2c2c2
4s2_F1,168.39171790333037,4809.704803196121,samples,#c2c2c2
4s2_F1,141.72644001608992,4375.494176222363,samples,#c2c2c2
4s2_F1,-14.709662279823009,4121.1825875517,samples,#c2c2c2
4s2_F1,-18.014285973724213,4049.552636132541,samples,#c2c2c2
4s2_F1,6.547106345812677,3885.527192514977,samples,#c2c2c2
4s2_F1,95.32537531170398,3587.0392902171825,samples,#c2c2c2
4s2_F1,130.82775148267186,3489.910147862649,samples,#c2c2c2
4s2_F1,191.29343366567733,3360.493938877161,samples,#c2c2c2
4s2_F1,253.7686843111913,3232.9979842002904,samples,#c2c2c2
4s2_F1,342.45763912319313,3081.119265511661,samples,#c2c2c2
4s2_F1,425.2072027015609,2882.261301877299,samples,#c2c2c2
4s2_F1,480.4480068820477,2740.8769962706538,samples,#c2c2c2
4s2_F1,480.4480068820477,2738.2422287309214,samples,#c2c2c2
4s2_F1,591.7334426280235,2588.908963428135,samples,#c2c2c2
4s2_F1,669.6600418963736,2436.9855876625616,samples,#c2c2c2
4s2_F1,682.8338795950341,2421.1769824241683,samples,#c2c2c2
4s2_F1,729.8577816177118,2368.213689167857,samples,#c2c2c2
4s2_F1,786.9295259529277,2286.6252095900495,samples,#c2c2c2
4s2_F1,831.7205741283749,2239.1993938748697,samples,#c2c2c2
4s2_F1,916.5690203231387,2166.944243378486,samples,#c2c2c2
4s2_F1,964.7093492694321,2101.6109398085164,samples,#c2c2c2
4s2_F1,1014.5019900626758,2027.3462208496246,samples,#c2c2c2
4s2_F1,1029.1048542235646,2009.4387329948358,samples,#c2c2c2
4s2_F1,1101.8512325663387,1936.6923546520602,samples,#c2c2c2
4s2_F1,1178.1255199877378,1809.4196853599135,samples,#c2c2c2
4s2_F1,1186.0298226069356,1796.2458476612526,samples,#c2c2c2
4s2_F1,1188.6645901466677,1796.2458476612526,samples,#c2c2c2
4s2_F1,1285.615104193423,1756.3670779497124,samples,#c2c2c2
4s2_F1,1288.249871733155,1753.7323104099808,samples,#c2c2c2
4s2_F1,1387.1206400885283,1701.8854440772843,samples,#c2c2c2
4s2_F1,1392.3901751679923,1696.6159089978205,samples,#c2c2c2
4s2_F1,1402.3933604035853,1689.9173474561283,samples,#c2c2c2
4s2_F1,1473.353455668576,1647.001896512355,samples,#c2c2c2
4s2_F1,1517.6086189206878,1638.383080662045,samples,#c2c2c2
4s2_F1,1562.5782954039125,1617.8854823444674,samples,#c2c2c2
4s2_F1,1570.4825980231087,1617.8854823444674,samples,#c2c2c2
4s2_F1,1578.3869006423065,1620.4755928072552,samples,#c2c2c2
4s2_F1,1588.9259708012348,1623.0657032700426,samples,#c2c2c2
4s2_F1,1604.7345760396274,1628.2459241956176,samples,#c2c2c2
4s2_F1,1604.7345760396274,1628.2459241956176,samples,#c2c2c2
4s2_F1,1622.0168648171928,1631.103977120073,samples,#c2c2c2
4s2M_F2,7900.922186907021,7835.871324622069,samples,#c2c2c2
4s2M_F2,7987.63638450998,7828.221013353296,samples,#c2c2c2
4s2M_F2,8051.847783694749,7817.721841402847,samples,#c2c2c2
4s2M_F2,8154.694855270351,7801.941073806589,samples,#c2c2c2
4s2M_F2,8214.48891991499,7784.335754987236,samples,#c2c2c2
4s2M_F2,8288.75135566208,7775.7571632716235,samples,#c2c2c2
4s2M_F2,8373.961098747748,7775.7571632716235,samples,#c2c2c2
4s2M_F2,8453.37709145832,7775.7571632716235,samples,#c2c2c2
4s2M_F2,8558.720917339213,7777.6137241653005,samples,#c2c2c2
4s2M_F2,8566.275199596244,7777.6137241653005,samples,#c2c2c2
4s2M_F2,8573.829481853278,7777.6137241653005,samples,#c2c2c2
4s2M_F2,8618.38694330153,7777.6137241653005,samples,#c2c2c2
4s2M_F2,8653.629590610817,7780.942729905689,samples,#c2c2c2
