#Selection name: 4s2_F1
#Area (µm^2): 27180097.77
Cell ID,Cluster,Transcripts,Area (µm^2)
bnnnffao-1,Cluster 7,0,108.38
cknmkdjo-1,Cluster 4,0,37.71
ckpblalp-1,Cluster 5,0,75.86
cloaohai-1,Cluster 14,0,12.91
cljnnnmd-1,Cluster 15,0,196.11
ckcmeaal-1,Cluster 21,0,127.21
ckclhnim-1,Cluster 25,0,86.56
ckcljfmb-1,Cluster 21,0,69.41
clnodidn-1,Cluster 7,0,214.00
clnmhgmg-1,Cluster 9,0,136.06
clnmmanb-1,Cluster 13,0,130.73
clnnpokn-1,Cluster 7,0,165.50
clnokfck-1,Cluster 5,0,132.85
clnophif-1,Cluster 7,0,96.32
clnpfdap-1,Cluster 1,0,201.71
clnoencn-1,Cluster 14,0,69.04
clnmpbfk-1,Cluster 7,0,176.97
clkbkipi-1,Cluster 7,0,96.14
clnmpagp-1,Cluster 4,0,122.87
clkblmak-1,Cluster 7,0,148.93
clnphidk-1,Cluster 12,0,113.12
cloaijie-1,Cluster 11,0,52.92
clnmnamf-1,Cluster 9,0,257.89
cloaphdg-1,Cluster 9,0,86.88
ckdmpolf-1,Cluster 9,0,128.42
ckdgkiil-1,Cluster 5,0,149.38
cjkklpjc-1,Cluster 1,0,206.00
cjjmpldm-1,Cluster 9,0,109.14
cjjgjbll-1,Cluster 1,0,173.85
cjjgjcbm-1,Cluster 1,0,185.32
cjjncohc-1,Cluster 9,0,153.67
cjjgmgdo-1,Cluster 9,0,116.95
cjjgehae-1,Cluster 9,0,82.86
cjjfanip-1,Cluster 1,0,125.22
cjjgcdbd-1,Cluster 5,0,222.98
cjjhdedh-1,Cluster 9,0,101.24
cjjnciej-1,Cluster 1,0,111.94
cjjgeijj-1,Cluster 15,0,116.59
cjjmjmnp-1,Cluster 9,0,162.97
cjjmjenn-1,Cluster 1,0,265.61
cjjenjim-1,Cluster 1,0,172.00
cjjgogke-1,Cluster 11,0,67.28
cjjgohnb-1,Cluster 1,0,237.30
cjjfoank-1,Cluster 1,0,184.06
cjjekocn-1,Cluster 9,0,181.80
cjjnkdhi-1,Cluster 7,0,118.31
cjjnlokl-1,Cluster 1,0,245.24
cjjnpeih-1,Cluster 1,0,114.92
