#Selection name: 4s2M_F2
#Area (µm^2): 14559513.73
Cell ID,Cluster,Transcripts,Area (µm^2)
hpdffdhe-1,Cluster 3,0,223.16
lgdckjci-1,Cluster 5,0,212.73
lgfpkjfg-1,Cluster 3,0,233.50
lggflndo-1,Cluster 13,0,98.85
lggflgjb-1,Cluster 20,0,228.13
lgcchfep-1,Cluster 1,0,236.57
lgcckomh-1,Cluster 12,0,133.03
lgccinnf-1,Cluster 8,0,178.05
lgghahne-1,Cluster 15,0,166.72
lggfoikl-1,Cluster 20,0,212.32
lgggnofk-1,Cluster 5,0,185.91
lggffifc-1,Cluster 5,0,89.59
lgggknpa-1,Cluster 20,0,135.42
lggfnhcd-1,Cluster 5,0,75.37
lghdclho-1,Cluster 5,0,96.50
lggigedk-1,Cluster 8,0,163.06
lggiiplm-1,Cluster 8,0,177.15
lgghklad-1,Cluster 4,0,130.23
lgghikhm-1,Cluster 5,0,185.14
lgghfonh-1,Cluster 20,0,201.40
lghchgfj-1,Cluster 8,0,176.15
lgghajfg-1,Cluster 4,0,180.08
lggiedgc-1,Cluster 4,0,177.24
lggpjgfi-1,Cluster 25,0,84.35
lggifbli-1,Cluster 1,0,158.86
lggmbkdl-1,Cluster 1,0,129.01
lggipdgk-1,Cluster 15,0,225.74
lggpanmk-1,Cluster 21,0,57.03
lghbmomi-1,Cluster 8,0,307.02
lggoleke-1,Cluster 25,0,154.03
lghbjeac-1,Cluster 5,0,186.27
lghbnalf-1,Cluster 20,0,185.14
lgfmidkc-1,Cluster 6,0,206.00
lggikjhl-1,Cluster 8,0,211.11
lghafpke-1,Cluster 5,0,229.21
lghcbjjb-1,Cluster 5,0,136.55
lggogacf-1,Cluster 25,0,74.78
lgglbebb-1,Cluster 20,0,165.86
lggjhbpb-1,Cluster 13,0,205.46
lghbgmdc-1,Cluster 8,0,210.65
lghcacal-1,Cluster 18,0,104.67
lghcfjjb-1,Cluster 5,0,91.80
lggijili-1,Cluster 5,0,223.34
lghcaalj-1,Cluster 20,0,125.40
lgoobemg-1,Cluster 3,0,215.35
lgpalflj-1,Cluster 5,0,151.09
lggmmana-1,Cluster 8,0,254.64
lggnggld-1,Cluster 13,0,208.44
lggoclan-1,Cluster 8,0,218.96
lggnkhcd-1,Cluster 13,0,215.12
lggmlddk-1,Cluster 13,0,210.88
lggmojad-1,Cluster 5,0,138.58
lgpcpaai-1,Cluster 8,0,119.21
lgpdhemd-1,Cluster 16,0,136.78
lgpfepgp-1,Cluster 5,0,248.45
lgpdhidd-1,Cluster 15,0,170.42
lgpbaabb-1,Cluster 13,0,218.56
lgpcojfh-1,Cluster 6,0,139.76
lgpcldld-1,Cluster 18,0,201.94
lgpbfabo-1,Cluster 8,0,245.74
lgpchail-1,Cluster 8,0,197.83
