#Selection name: 4s2M_F4
#Area (µm^2): 30623218.48
Cell ID,Cluster,Transcripts,Area (µm^2)
hfpekngk-1,Cluster 20,0,278.61
hcanijgn-1,Cluster 7,0,61.82
gcpnchek-1,Cluster 4,0,117.45
gfjhlfmm-1,Cluster 16,0,210.79
gdmeocle-1,Cluster 5,0,226.50
gianiagg-1,Cluster 5,0,185.59
ggmdcgen-1,Cluster 16,0,275.59
gibbfnhm-1,Cluster 4,0,245.15
gdkapbeh-1,Cluster 8,0,31.52
gglbmgfm-1,Cluster 24,0,82.77
gdlddabn-1,Cluster 8,0,24.02
gdlnjfef-1,Cluster 8,0,156.24
gdlneffj-1,Cluster 8,0,223.12
gdlmhjgo-1,Cluster 8,0,35.09
gdlmoaif-1,Cluster 8,0,96.36
gglddgjd-1,Cluster 8,0,387.58
ggldiboc-1,Cluster 8,0,179.41
gdlncjip-1,Cluster 8,0,14.59
gdlddlop-1,Cluster 8,0,151.18
gdldegim-1,Cluster 8,0,98.94
gdldccai-1,Cluster 8,0,156.74
gdmabmla-1,Cluster 8,0,358.68
gdlcpifi-1,Cluster 8,0,31.25
gdlnehjm-1,Cluster 8,0,86.88
gdlpmjnk-1,Cluster 8,0,113.16
gglfbbbc-1,Cluster 8,0,62.90
gglfaccf-1,Cluster 8,0,87.20
gglenieo-1,Cluster 8,0,46.06
gglelhpn-1,Cluster 8,0,156.51
gglelfca-1,Cluster 24,0,158.09
ggldcldb-1,Cluster 8,0,71.30
ggleldpe-1,Cluster 8,0,90.18
gglekabb-1,Cluster 8,0,138.00
gglehklg-1,Cluster 8,0,166.94
gglbekld-1,Cluster 8,0,105.39
gglegffb-1,Cluster 8,0,27.46
gglefapb-1,Cluster 8,0,206.00
gdlpkkgh-1,Cluster 8,0,218.10
gdlomphf-1,Cluster 8,0,90.13
gdloenkf-1,Cluster 8,0,31.84
gdlodjbe-1,Cluster 8,0,174.89
gglckngp-1,Cluster 8,0,88.42
ggleedkm-1,Cluster 8,0,79.07
gdmadmnf-1,Cluster 8,0,152.18
gdlmiadc-1,Cluster 8,0,61.19
gdlnjnhj-1,Cluster 8,0,134.75
gglecjik-1,Cluster 8,0,61.46
gdloddai-1,Cluster 8,0,215.62
gglbjpog-1,Cluster 8,0,327.43
ggldcbli-1,Cluster 8,0,84.04
gdmacfhh-1,Cluster 8,0,152.13
gglbkelm-1,Cluster 8,0,100.02
gglcpohe-1,Cluster 8,0,77.80
ggldphcl-1,Cluster 8,0,74.91
gglcgojb-1,Cluster 8,0,62.68
gglcifga-1,Cluster 8,0,106.98
gglcjkbi-1,Cluster 8,0,79.61
gglcepjh-1,Cluster 8,0,84.85
gdmcepmd-1,Cluster 8,0,217.34
gglblbal-1,Cluster 8,0,171.86
gglddceb-1,Cluster 8,0,152.81
gdmboepc-1,Cluster 5,0,292.39
gdkolkoo-1,Cluster 5,0,135.83
gdkalhkb-1,Cluster 8,0,79.48
gdlahafe-1,Cluster 8,0,121.61
gdmbpjho-1,Cluster 4,0,236.08
gdknmjcd-1,Cluster 8,0,98.53
gdjpnegf-1,Cluster 8,0,56.85
gdkbfneh-1,Cluster 8,0,79.84
gdkbfdef-1,Cluster 8,0,43.03
gdlaijgl-1,Cluster 8,0,177.46
gdlnlghd-1,Cluster 5,0,219.14
gdmcmeac-1,Cluster 4,0,161.70
gdmcflie-1,Cluster 8,0,105.62
gdkokdoe-1,Cluster 17,0,42.18
gdkalmfc-1,Cluster 8,0,70.04
gdlbobgj-1,Cluster 8,0,56.17
gdlcaibi-1,Cluster 8,0,172.81
gdkmpncg-1,Cluster 8,0,134.52
gdlccpip-1,Cluster 8,0,158.90
gdlmhggg-1,Cluster 5,0,201.26
gdlbngje-1,Cluster 8,0,174.35
gdlcjoej-1,Cluster 8,0,158.41
gdlbaeko-1,Cluster 8,0,85.26
gdkoodkl-1,Cluster 8,0,222.35
gdlaieel-1,Cluster 8,0,52.74
gdknlpkg-1,Cluster 8,0,128.24
gdkonega-1,Cluster 8,0,110.27
gdlocbnm-1,Cluster 18,0,197.92
gdjpoobk-1,Cluster 8,0,141.16
gdlcamof-1,Cluster 8,0,95.60
gdlnnbfa-1,Cluster 5,0,197.29
gdlajojp-1,Cluster 8,0,53.19
gdkpjjdd-1,Cluster 8,0,89.18
gdldicdi-1,Cluster 8,0,150.64
gdlppbcd-1,Cluster 4,0,158.90
gdldhkfl-1,Cluster 8,0,195.21
gdlbjnnc-1,Cluster 8,0,144.68
gdkalepa-1,Cluster 8,0,86.70
gdmaahol-1,Cluster 4,0,101.87
gdmabkjj-1,Cluster 8,0,203.75
gdlanjhp-1,Cluster 8,0,60.10
gdmcdnig-1,Cluster 4,0,261.82
gdlbkige-1,Cluster 8,0,78.17
gdldchnh-1,Cluster 8,0,50.35
gdlclcfd-1,Cluster 8,0,112.94
gdlmkell-1,Cluster 8,0,46.01
gdmbjpnm-1,Cluster 5,0,254.73
gdlbmfii-1,Cluster 8,0,70.67
gdlaocoe-1,Cluster 8,0,103.36
gdlbjamo-1,Cluster 8,0,69.41
giaoglec-1,Cluster 8,0,158.45
gibbmkfm-1,Cluster 16,0,182.57
gianmang-1,Cluster 8,0,162.29
giapacbd-1,Cluster 8,0,137.77
giappmda-1,Cluster 8,0,144.36
giapffcp-1,Cluster 5,0,78.53
giaolkoa-1,Cluster 8,0,55.72
ghppdmld-1,Cluster 8,0,81.51
gianmkch-1,Cluster 8,0,171.37
ghppemjd-1,Cluster 8,0,161.12
giapbpmg-1,Cluster 8,0,81.19
ghplmggj-1,Cluster 8,0,95.14
ghpkfogp-1,Cluster 8,0,85.53
ghpoikfm-1,Cluster 8,0,171.77
giapkkgi-1,Cluster 5,0,232.92
ghpkhkom-1,Cluster 8,0,141.75
giapmejn-1,Cluster 5,0,63.90
ghpohnlb-1,Cluster 8,0,43.26
ghpidijl-1,Cluster 5,0,306.66
ghplanne-1,Cluster 8,0,132.04
ghpkpokb-1,Cluster 8,0,113.21
ghppaebd-1,Cluster 8,0,67.37
ghpmghnn-1,Cluster 8,0,50.94
giapmmee-1,Cluster 8,0,55.59
ghpmgppf-1,Cluster 8,0,91.08
giaphdbd-1,Cluster 8,0,163.38
ghpkmfei-1,Cluster 8,0,48.99
ghpkokjb-1,Cluster 8,0,139.53
ghplicbj-1,Cluster 8,0,307.51
gibaangh-1,Cluster 8,0,82.18
ghplpccl-1,Cluster 8,0,49.18
ghppapng-1,Cluster 8,0,130.19
ghpjbmmf-1,Cluster 8,0,61.28
ghplpfgg-1,Cluster 8,0,181.48
ghpjdhla-1,Cluster 8,0,61.28
ghpjgglk-1,Cluster 8,0,71.08
ghpimnme-1,Cluster 8,0,131.22
ghpjlemp-1,Cluster 8,0,96.05
ghpjmnpd-1,Cluster 8,0,94.29
ghpjopde-1,Cluster 8,0,51.57
ghpjplje-1,Cluster 8,0,136.87
ghplbcob-1,Cluster 8,0,183.15
ghplccgb-1,Cluster 8,0,125.44
ghploneb-1,Cluster 8,0,168.61
ghpjfbnj-1,Cluster 8,0,220.99
ghphphdc-1,Cluster 8,0,193.81
ghpijjdb-1,Cluster 8,0,66.42
ghpiccok-1,Cluster 8,0,188.12
ghphmboc-1,Cluster 8,0,117.27
ghpnbcfm-1,Cluster 8,0,187.44
giaonmfg-1,Cluster 8,0,148.70
gibacokj-1,Cluster 5,0,149.24
gglbnoab-1,Cluster 17,0,38.29
gglboogn-1,Cluster 8,0,112.62
giaakbjc-1,Cluster 5,0,164.68
gglbpchk-1,Cluster 8,0,27.41
giaahchc-1,Cluster 5,0,217.34
giaoocoa-1,Cluster 8,0,199.05
gglhbmhc-1,Cluster 5,0,96.14
gibagolh-1,Cluster 5,0,244.97
gglhabmj-1,Cluster 5,0,120.39
giaokpdk-1,Cluster 5,0,110.14
gglgkmbb-1,Cluster 4,0,170.37
gglkgocm-1,Cluster 2,0,245.83
gglgkcpl-1,Cluster 5,0,261.32
giaoelam-1,Cluster 8,0,138.49
gglghcak-1,Cluster 8,0,62.63
gibakkmh-1,Cluster 5,0,233.50
gglbkfkl-1,Cluster 8,0,146.04
gglggbnl-1,Cluster 8,0,102.73
gdmcpaif-1,Cluster 5,0,203.56
ghpkbaih-1,Cluster 16,0,213.18
gdmajgbo-1,Cluster 16,0,269.09
giaagbnh-1,Cluster 18,0,212.55
gglgffgk-1,Cluster 8,0,41.27
gglgehie-1,Cluster 5,0,97.27
gdmbfjpe-1,Cluster 4,0,224.11
gglgcikc-1,Cluster 8,0,84.98
gglgbemj-1,Cluster 8,0,63.44
gibaihen-1,Cluster 4,0,188.12
giaooood-1,Cluster 8,0,148.29
gglkdkkp-1,Cluster 7,0,290.45
gglfocpa-1,Cluster 8,0,69.22
ghplkipi-1,Cluster 4,0,150.51
gdmbdfmc-1,Cluster 18,0,51.07
gibaipna-1,Cluster 18,0,215.94
gglbmpbg-1,Cluster 8,0,41.77
ghpkfbjk-1,Cluster 8,0,128.47
ghpkejbb-1,Cluster 4,0,246.69
gglcahfn-1,Cluster 16,0,97.00
gglfbejg-1,Cluster 8,0,191.69
gglfcppo-1,Cluster 8,0,93.20
giaagoli-1,Cluster 4,0,153.58
