#Selection name: 4s2M_F1
#Area (µm^2): 26957824.48
Cell ID,Cluster,Transcripts,Area (µm^2)
lenndfka-1,Cluster 3,0,211.74
modnkemm-1,Cluster 3,0,150.96
mojomcco-1,Cluster 3,0,116.14
modckgpf-1,Cluster 5,0,153.76
mocijcdg-1,Cluster 14,0,78.26
mocjfgmg-1,Cluster 14,0,154.39
mocjbkhd-1,Cluster 20,0,80.38
mocihdpl-1,Cluster 14,0,126.35
mobikndd-1,Cluster 5,0,225.51
mobhldkp-1,Cluster 10,0,136.96
mobhdnic-1,Cluster 10,0,132.53
mobhkfld-1,Cluster 10,0,129.51
mobhgnhk-1,Cluster 3,0,144.91
mobinmlo-1,Cluster 8,0,192.86
mobfpmje-1,Cluster 10,0,183.06
mobfpjfi-1,Cluster 25,0,32.60
mobgehbc-1,Cluster 1,0,68.01
mobghobb-1,Cluster 8,0,164.23
mobialij-1,Cluster 14,0,97.45
mobhcgdc-1,Cluster 14,0,215.58
mobhlbfk-1,Cluster 10,0,218.42
mobhefef-1,Cluster 10,0,246.51
mobhlpih-1,Cluster 14,0,104.49
mobfnimp-1,Cluster 5,0,147.39
mobiikep-1,Cluster 1,0,144.45
mobfdnhf-1,Cluster 14,0,42.40
mobfcoko-1,Cluster 18,0,66.52
mobfbcak-1,Cluster 14,0,72.34
mobhnfkd-1,Cluster 14,0,22.76
mobffjjh-1,Cluster 24,0,63.90
mobjhojj-1,Cluster 14,0,130.41
mobkaghi-1,Cluster 8,0,164.05
mobfkfil-1,Cluster 12,0,72.97
mobjlmce-1,Cluster 20,0,101.69
mobfihgd-1,Cluster 15,0,63.22
mobfhdhd-1,Cluster 24,0,82.77
mobjhkph-1,Cluster 18,0,183.33
mobjbdhd-1,Cluster 3,0,172.99
mobkhbka-1,Cluster 1,0,216.66
mobjpaia-1,Cluster 24,0,127.21
mocjcebm-1,Cluster 20,0,98.40
mocjkchi-1,Cluster 5,0,94.74
mocjcikn-1,Cluster 20,0,102.28
mocippba-1,Cluster 20,0,109.50
modcamme-1,Cluster 1,0,276.04
modbplpj-1,Cluster 15,0,229.98
mocignil-1,Cluster 8,0,223.16
mocindmc-1,Cluster 14,0,55.72
modblblf-1,Cluster 8,0,218.29
mociolkg-1,Cluster 14,0,54.14
mocipilk-1,Cluster 20,0,169.74
moddidgl-1,Cluster 15,0,246.87
moddjfid-1,Cluster 12,0,179.54
moddnaoc-1,Cluster 11,0,126.12
modbkdjp-1,Cluster 1,0,216.89
modbhndg-1,Cluster 4,0,149.06
modapmlg-1,Cluster 15,0,216.80
modajdpl-1,Cluster 8,0,211.69
modbhpoa-1,Cluster 18,0,249.08
modankki-1,Cluster 11,0,120.79
modahoic-1,Cluster 11,0,92.34
modacabg-1,Cluster 9,0,92.34
modaboef-1,Cluster 9,0,255.95
mockblee-1,Cluster 20,0,208.31
moclnghp-1,Cluster 8,0,235.08
modandah-1,Cluster 15,0,209.07
modadjap-1,Cluster 8,0,132.08
mocbbdia-1,Cluster 14,0,98.94
mocalale-1,Cluster 14,0,105.80
mockidbo-1,Cluster 14,0,168.88
mocjkodp-1,Cluster 18,0,188.17
moclekfh-1,Cluster 20,0,270.98
mocaonfa-1,Cluster 14,0,201.13
modapamg-1,Cluster 10,0,240.73
mockmoff-1,Cluster 18,0,109.10
mockljna-1,Cluster 20,0,82.14
mockplgb-1,Cluster 14,0,134.34
mockjlfh-1,Cluster 1,0,270.85
mocobkgo-1,Cluster 20,0,236.57
mococpkd-1,Cluster 14,0,67.73
modabnje-1,Cluster 15,0,217.38
mocoeklo-1,Cluster 14,0,126.12
modlfjhe-1,Cluster 3,0,72.66
modlkpca-1,Cluster 8,0,152.81
modkekhl-1,Cluster 3,0,143.55
modleigc-1,Cluster 3,0,56.58
modogjal-1,Cluster 1,0,153.22
modljkba-1,Cluster 3,0,150.28
modkkdfn-1,Cluster 3,0,127.61
modkpgda-1,Cluster 8,0,186.31
mobklbmk-1,Cluster 15,0,223.52
mobkjiak-1,Cluster 11,0,121.15
mobiobij-1,Cluster 3,0,112.35
moblldkn-1,Cluster 11,0,109.28
moblkjdh-1,Cluster 11,0,92.03
moblikll-1,Cluster 8,0,208.03
moblhkbi-1,Cluster 8,0,165.90
moeaembh-1,Cluster 3,0,165.68
