#Selection name: 4s2M_F3
#Area (µm^2): 34210131.15
Cell ID,Cluster,Transcripts,Area (µm^2)
hnmmmnia-1,Cluster 5,0,201.80
hnldflhm-1,Cluster 9,0,176.74
hnlfegln-1,Cluster 8,0,250.80
hnmmigin-1,Cluster 5,0,232.92
hnmmejki-1,Cluster 1,0,233.19
hnlanage-1,Cluster 8,0,237.21
hnlgdacg-1,Cluster 8,0,75.23
hnlgcacb-1,Cluster 8,0,126.62
hnlcaegp-1,Cluster 8,0,251.02
hnliagma-1,Cluster 5,0,117.99
hnmikglm-1,Cluster 8,0,117.50
hnlfknlm-1,Cluster 8,0,91.04
hnliepki-1,Cluster 17,0,82.77
hnlchajm-1,Cluster 8,0,135.20
hnldnlea-1,Cluster 8,0,222.17
hnlbfmoh-1,Cluster 8,0,157.46
hnldcaji-1,Cluster 8,0,104.81
hnlampcj-1,Cluster 16,0,133.66
hnleajkb-1,Cluster 8,0,259.42
hnmmccin-1,Cluster 16,0,270.80
hnlhbllj-1,Cluster 8,0,117.59
hnmkmopk-1,Cluster 9,0,234.68
hnmmfipo-1,Cluster 4,0,104.81
hnlbagfb-1,Cluster 8,0,159.72
hnlbdfbk-1,Cluster 8,0,201.76
hnmiohlk-1,Cluster 17,0,253.15
hnmjgbog-1,Cluster 4,0,71.12
hnmjmjnh-1,Cluster 8,0,87.02
hnlbddla-1,Cluster 24,0,221.54
hnlhfonc-1,Cluster 8,0,53.65
hnlaeokf-1,Cluster 18,0,200.54
hnmjfglm-1,Cluster 16,0,168.84
hnlbdjla-1,Cluster 8,0,70.81
hnlcapid-1,Cluster 8,0,73.42
hnmgodlk-1,Cluster 6,0,106.39
hnhmplka-1,Cluster 2,0,274.60
hnhnhldi-1,Cluster 11,0,235.90
hnnbpceb-1,Cluster 8,0,214.76
hnhnipdj-1,Cluster 2,0,225.51
hnieeonp-1,Cluster 2,0,265.61
hnibnigi-1,Cluster 8,0,83.63
hniebioo-1,Cluster 11,0,250.89
hnkjkpme-1,Cluster 16,0,250.48
hnmfhhgm-1,Cluster 4,0,140.21
hnibpkjk-1,Cluster 8,0,163.96
hnmfnljb-1,Cluster 4,0,231.47
hnmfjogl-1,Cluster 16,0,291.44
hnienkpn-1,Cluster 18,0,189.07
hnkjhmng-1,Cluster 5,0,143.24
hniefmgb-1,Cluster 16,0,238.24
hnhnkmdf-1,Cluster 13,0,170.24
hniekfbc-1,Cluster 2,0,367.08
hnhnfgao-1,Cluster 13,0,52.56
hnibdncn-1,Cluster 16,0,134.34
hnmhheii-1,Cluster 5,0,378.91
hnmflnke-1,Cluster 16,0,270.17
hniekkoj-1,Cluster 7,0,95.37
hnhnfmhi-1,Cluster 5,0,293.79
hnhnhddn-1,Cluster 2,0,253.51
hnmfnggc-1,Cluster 5,0,286.52
hnhnnfom-1,Cluster 11,0,257.84
hnmgkdih-1,Cluster 16,0,51.79
hnibmmnl-1,Cluster 8,0,134.97
hnnoljgn-1,Cluster 7,0,72.93
hnkkgekl-1,Cluster 5,0,193.22
hnmhagen-1,Cluster 16,0,113.34
hnmgnelg-1,Cluster 18,0,103.90
hnmfopio-1,Cluster 18,0,199.05
hnibigga-1,Cluster 4,0,200.58
hnhngpen-1,Cluster 4,0,259.15
nemkojjg-1,Cluster 9,0,105.53
