#Selection name: 4s2_F3
#Area (µm^2): 33774633.93
Cell ID,Cluster,Transcripts,Area (µm^2)
jdhgoeja-1,Cluster 22,0,195.12
fblcbpec-1,Cluster 5,0,210.65
fgioepoj-1,Cluster 9,0,141.29
ippammad-1,Cluster 11,0,205.19
ffiaodhn-1,Cluster 4,0,108.33
jbfpcaph-1,Cluster 9,0,125.72
ffgmbmpl-1,Cluster 16,0,162.83
ffehdede-1,Cluster 9,0,246.33
ffhaglep-1,Cluster 16,0,190.47
ffgomccb-1,Cluster 8,0,69.31
ffgopoei-1,Cluster 4,0,156.01
ffgpncng-1,Cluster 10,0,242.71
ffgpgjhl-1,Cluster 8,0,140.62
ffgphkhg-1,Cluster 9,0,127.07
ffgpadcp-1,Cluster 8,0,170.56
ffgpaagh-1,Cluster 8,0,81.64
ffhacdjp-1,Cluster 9,0,75.91
ffhcnelm-1,Cluster 8,0,195.30
ffgpjloj-1,Cluster 4,0,127.84
ffgpoeam-1,Cluster 4,0,167.71
ffhcmjhm-1,Cluster 4,0,179.54
ffhaohaa-1,Cluster 8,0,141.66
ffhcejaf-1,Cluster 5,0,188.80
ffhalaod-1,Cluster 17,0,93.61
ffgplkfh-1,Cluster 4,0,180.76
ffhcbdgk-1,Cluster 4,0,169.25
fffncfeg-1,Cluster 8,0,55.36
fffmmain-1,Cluster 8,0,95.10
fffllfld-1,Cluster 8,0,135.20
fffmimej-1,Cluster 8,0,58.34
fffmcocj-1,Cluster 8,0,157.82
ffflidke-1,Cluster 25,0,114.65
ffhbpjem-1,Cluster 18,0,115.06
ffflofkl-1,Cluster 24,0,168.52
ffhboobg-1,Cluster 5,0,126.71
ffgphpie-1,Cluster 24,0,141.70
ffhbnong-1,Cluster 18,0,113.93
ffgpkmdk-1,Cluster 10,0,130.86
ffhaojla-1,Cluster 8,0,234.68
ffhbhmoj-1,Cluster 8,0,137.14
ffhbmbdj-1,Cluster 8,0,216.07
ffhbneci-1,Cluster 8,0,222.85
ffflkbmk-1,Cluster 8,0,131.40
fffpedia-1,Cluster 8,0,52.34
fffpecfo-1,Cluster 8,0,147.98
ffflecoa-1,Cluster 8,0,22.49
fffkpoik-1,Cluster 8,0,95.32
fffkpkpd-1,Cluster 8,0,99.34
fffndjmk-1,Cluster 8,0,258.07
fffncldk-1,Cluster 8,0,153.08
fffoeola-1,Cluster 17,0,100.52
fffoiidl-1,Cluster 8,0,66.56
fffolclh-1,Cluster 24,0,159.27
ffflealp-1,Cluster 8,0,65.25
fffpfkdk-1,Cluster 8,0,95.01
fffkhfla-1,Cluster 8,0,48.32
ffhcgfcm-1,Cluster 16,0,126.84
ffhccjae-1,Cluster 18,0,235.17
ffhamclg-1,Cluster 8,0,208.58
ffdcafmg-1,Cluster 5,0,159.72
ffckjmdg-1,Cluster 8,0,160.40
ffddncci-1,Cluster 5,0,266.51
ffdcjccf-1,Cluster 16,0,203.56
ffcmckph-1,Cluster 4,0,197.11
ffdceiea-1,Cluster 16,0,191.33
ffdbgckf-1,Cluster 8,0,109.59
ffdanalc-1,Cluster 4,0,168.52
ffdbdeff-1,Cluster 24,0,182.84
ffcmbjnd-1,Cluster 9,0,227.95
ffdbcpom-1,Cluster 8,0,344.59
ffdaeioj-1,Cluster 10,0,229.48
ffdangmk-1,Cluster 5,0,218.78
ffdccnbg-1,Cluster 5,0,132.94
ffdabbmb-1,Cluster 5,0,242.31
ffcpkgfn-1,Cluster 4,0,152.99
ffcopchd-1,Cluster 8,0,191.91
ffcpjcfm-1,Cluster 8,0,149.74
ffdbagcp-1,Cluster 8,0,132.08
ffdbcdjc-1,Cluster 17,0,133.21
ffgofbni-1,Cluster 5,0,99.21
ffcoclgh-1,Cluster 8,0,124.81
ffdampel-1,Cluster 8,0,180.40
ffcpegjj-1,Cluster 8,0,139.85
ffdbbamj-1,Cluster 24,0,138.04
ffdccipo-1,Cluster 8,0,82.18
ffdacbol-1,Cluster 4,0,43.26
ffdabhce-1,Cluster 10,0,146.53
ffdbgglo-1,Cluster 8,0,356.42
ffdbgifp-1,Cluster 17,0,214.27
ffdcigog-1,Cluster 24,0,163.65
ffdclcmi-1,Cluster 10,0,155.61
ffcnpaol-1,Cluster 4,0,208.26
ffdbjecg-1,Cluster 8,0,170.87
ffdchdai-1,Cluster 5,0,116.14
ffdbkjkj-1,Cluster 8,0,239.24
ffdbnmpl-1,Cluster 8,0,130.28
ffcnpjki-1,Cluster 18,0,262.54
ffcoklcc-1,Cluster 8,0,145.99
ffhdfpgi-1,Cluster 4,0,230.48
ffgokmgi-1,Cluster 8,0,178.46
ffgojjgf-1,Cluster 8,0,59.11
ffgofplh-1,Cluster 4,0,249.40
ffcomadp-1,Cluster 9,0,161.07
ffcoodgk-1,Cluster 8,0,112.53
ffgoegfk-1,Cluster 5,0,87.96
ffhdfcbd-1,Cluster 4,0,163.01
ffhdddnl-1,Cluster 16,0,192.46
ffgnjknd-1,Cluster 4,0,166.58
ffgnemfp-1,Cluster 4,0,112.62
ffedgfcp-1,Cluster 13,0,114.92
ffcnonbb-1,Cluster 4,0,239.78
ffeckfpl-1,Cluster 4,0,130.32
ffeclmog-1,Cluster 11,0,240.19
ffedeopn-1,Cluster 11,0,223.12
ffhdmbhd-1,Cluster 9,0,231.38
ffefkbho-1,Cluster 11,0,235.76
ffhdgjbg-1,Cluster 4,0,216.34
ffededof-1,Cluster 11,0,101.78
ffhdgbfe-1,Cluster 16,0,236.17
ffhcghoo-1,Cluster 11,0,327.79
ffhdcneb-1,Cluster 5,0,194.94
ffhdnkbp-1,Cluster 11,0,330.18
ffeenojh-1,Cluster 7,0,109.91
ffgkpgpd-1,Cluster 11,0,471.30
ffedeijb-1,Cluster 11,0,258.93
ffhdilbf-1,Cluster 4,0,185.23
ffhfgldg-1,Cluster 4,0,319.84
fffihnag-1,Cluster 11,0,64.03
ffhgleca-1,Cluster 13,0,126.89
ffhfjdlh-1,Cluster 16,0,277.67
ffhgcafc-1,Cluster 5,0,227.63
ffhglaao-1,Cluster 11,0,154.84
ffhgioph-1,Cluster 13,0,182.30
ffgmagmd-1,Cluster 5,0,273.01
ffhgcknd-1,Cluster 11,0,231.74
fffijeml-1,Cluster 11,0,232.74
fffipheb-1,Cluster 10,0,158.41
fffilhki-1,Cluster 11,0,201.85
ffhfgjjk-1,Cluster 6,0,182.79
ffhcocda-1,Cluster 16,0,102.23
ffhennda-1,Cluster 10,0,303.50
fffpopno-1,Cluster 5,0,89.14
fffipndd-1,Cluster 11,0,279.43
ffhckkgg-1,Cluster 13,0,82.68
fffihecm-1,Cluster 7,0,136.10
fffpodhh-1,Cluster 4,0,152.00
fffphcnl-1,Cluster 5,0,109.05
ffhcjdjj-1,Cluster 13,0,125.40
fffnkeek-1,Cluster 4,0,184.15
fffnnedi-1,Cluster 5,0,194.31
fffnmlhp-1,Cluster 5,0,182.84
ffhdbngl-1,Cluster 10,0,193.45
ffhaikek-1,Cluster 4,0,230.07
ffhenijp-1,Cluster 11,0,244.57
ffhfbnkm-1,Cluster 5,0,226.96
fffomejf-1,Cluster 4,0,255.63
ffhaiebf-1,Cluster 4,0,183.33
fffihbae-1,Cluster 5,0,203.07
ffhepbfj-1,Cluster 5,0,127.66
fffpipfc-1,Cluster 10,0,221.27
ffdgmmie-1,Cluster 5,0,195.26
ffefnmdc-1,Cluster 4,0,184.96
ffddglfo-1,Cluster 16,0,164.23
ffddeddi-1,Cluster 4,0,144.91
ffddkmoo-1,Cluster 5,0,182.39
ffddmkpo-1,Cluster 18,0,259.20
ffddpbfo-1,Cluster 16,0,238.29
ffdfdbcj-1,Cluster 11,0,307.97
ffdgefjp-1,Cluster 11,0,363.91
ffdfjcko-1,Cluster 13,0,276.31
ffdepdhl-1,Cluster 11,0,244.48
ffefnmhm-1,Cluster 9,0,129.24
ffegadoi-1,Cluster 9,0,116.28
ffedobgh-1,Cluster 4,0,192.73
ffegbheo-1,Cluster 7,0,137.41
ffednnmo-1,Cluster 7,0,26.96
ffdghbcb-1,Cluster 11,0,231.29
ffdghjoi-1,Cluster 11,0,227.45
ffdgjnln-1,Cluster 2,0,233.10
ffddkoki-1,Cluster 11,0,228.67
ffdebgjh-1,Cluster 13,0,59.15
ffdfpkec-1,Cluster 11,0,53.06
ffedmaom-1,Cluster 11,0,257.53
ffeejgdo-1,Cluster 9,0,201.98
ffegdejk-1,Cluster 5,0,282.99
ffdfdieo-1,Cluster 13,0,168.75
ffdfpann-1,Cluster 7,0,14.77
ffdgkomh-1,Cluster 13,0,282.50
ffegegbm-1,Cluster 10,0,118.08
ffedpaho-1,Cluster 11,0,136.37
ffdfheng-1,Cluster 13,0,73.24
ffdephak-1,Cluster 7,0,34.50
ffdffcon-1,Cluster 11,0,267.19
ffeeiepi-1,Cluster 16,0,166.04
ffeejbcc-1,Cluster 7,0,233.23
ffeejkad-1,Cluster 7,0,196.43
ffeecfog-1,Cluster 11,0,101.10
ffdechdg-1,Cluster 11,0,278.98
ffdejhfn-1,Cluster 11,0,251.07
ffechkfn-1,Cluster 11,0,197.74
ffdehcja-1,Cluster 13,0,242.40
ffdelgbl-1,Cluster 11,0,283.90
ffechplh-1,Cluster 6,0,117.23
ffddllfl-1,Cluster 11,0,226.96
ffdedomn-1,Cluster 3,0,263.62
ffecfgip-1,Cluster 11,0,112.62
ffecglag-1,Cluster 11,0,117.00
ffeclhka-1,Cluster 13,0,161.03
ffedafkc-1,Cluster 13,0,141.20
jbffamkn-1,Cluster 13,0,349.06
feimklnk-1,Cluster 7,0,140.07
feimigbf-1,Cluster 4,0,119.48
feihidme-1,Cluster 8,0,110.32
jbkkhcbg-1,Cluster 11,0,358.72
feihkhoe-1,Cluster 8,0,98.76
feifhdcm-1,Cluster 3,0,296.50
feigklcm-1,Cluster 4,0,205.64
jbkjmcnk-1,Cluster 5,0,133.17
jbkkainp-1,Cluster 9,0,190.92
jbkjbake-1,Cluster 7,0,95.46
jbkjbjoc-1,Cluster 11,0,278.25
jbkinpmk-1,Cluster 13,0,118.58
ffdjpion-1,Cluster 17,0,108.28
ffdkjean-1,Cluster 8,0,83.86
ffdomghi-1,Cluster 5,0,236.80
ffdokkjd-1,Cluster 5,0,69.68
ffdojedp-1,Cluster 4,0,123.32
jbkjgdda-1,Cluster 11,0,225.01
ffdkfcia-1,Cluster 8,0,49.85
ffdkgdcm-1,Cluster 8,0,132.08
ffdjgbcc-1,Cluster 4,0,178.23
ffdjphlh-1,Cluster 8,0,142.20
ffdjgcme-1,Cluster 8,0,201.71
ffdoopcc-1,Cluster 5,0,202.66
ffdpbobm-1,Cluster 4,0,181.12
jbkjfcgo-1,Cluster 3,0,191.87
jbkjapaj-1,Cluster 11,0,282.77
ffdjjfdb-1,Cluster 9,0,158.95
ffdjlloc-1,Cluster 9,0,117.90
ffdodmck-1,Cluster 11,0,260.73
ffcmabae-1,Cluster 8,0,122.73
ffcmclkc-1,Cluster 5,0,286.25
ffdllgol-1,Cluster 24,0,100.02
ffdjfcap-1,Cluster 8,0,121.02
ffdjebfo-1,Cluster 8,0,114.25
ffdoeika-1,Cluster 9,0,165.63
ffdoimpi-1,Cluster 9,0,222.03
ffclkjbg-1,Cluster 17,0,183.88
ffdjcafk-1,Cluster 8,0,180.67
ffdpbccg-1,Cluster 4,0,207.54
ffdkecik-1,Cluster 8,0,130.91
ffdkiede-1,Cluster 8,0,59.11
ffdklfei-1,Cluster 8,0,189.84
ffdlbikg-1,Cluster 8,0,144.68
ffdlcdoh-1,Cluster 5,0,130.00
ffdlohdc-1,Cluster 16,0,213.54
ffclijok-1,Cluster 8,0,53.78
ffcldmgj-1,Cluster 8,0,99.89
ffdlfclh-1,Cluster 5,0,81.24
ffcladgd-1,Cluster 8,0,108.51
ffclficf-1,Cluster 8,0,143.69
feiikldg-1,Cluster 4,0,125.44
feiionfa-1,Cluster 8,0,197.56
jbfbeamj-1,Cluster 7,0,110.59
feiflbmd-1,Cluster 16,0,184.87
jbfbmfoe-1,Cluster 11,0,265.79
jbfcmjhb-1,Cluster 4,0,97.09
jbfbhkim-1,Cluster 7,0,90.27
jbfbfmpo-1,Cluster 5,0,258.56
jbfbecal-1,Cluster 11,0,325.03
feilhoce-1,Cluster 5,0,219.10
jbfckdpl-1,Cluster 13,0,187.31
jbfcldoh-1,Cluster 11,0,373.08
jbfcpeke-1,Cluster 11,0,189.84
jbfclhll-1,Cluster 11,0,238.06
jbfcmbjb-1,Cluster 4,0,134.11
jbfcmala-1,Cluster 10,0,221.76
feilnnan-1,Cluster 3,0,304.35
feilokmb-1,Cluster 18,0,241.54
feiinhek-1,Cluster 8,0,267.42
jbfeinpf-1,Cluster 16,0,152.22
feigppoe-1,Cluster 8,0,137.32
jbfbnlok-1,Cluster 11,0,249.71
feilgija-1,Cluster 11,0,231.79
jbfbolod-1,Cluster 11,0,104.09
feihbedp-1,Cluster 8,0,24.25
feihdlao-1,Cluster 17,0,69.99
feiieejc-1,Cluster 7,0,307.29
jbfbffkf-1,Cluster 11,0,251.79
jbfeameg-1,Cluster 13,0,219.91
feihbane-1,Cluster 8,0,336.46
feimfped-1,Cluster 5,0,242.81
feinfchm-1,Cluster 7,0,444.88
jbffggbi-1,Cluster 9,0,223.57
jbfdkddc-1,Cluster 11,0,265.56
jbfeoaif-1,Cluster 11,0,260.64
feiifbek-1,Cluster 16,0,151.23
feihgajf-1,Cluster 8,0,141.43
feihgjcm-1,Cluster 8,0,217.34
feinebho-1,Cluster 4,0,267.14
jbfeljdm-1,Cluster 9,0,197.38
feigeifb-1,Cluster 4,0,238.11
feififhi-1,Cluster 4,0,246.24
feigpljd-1,Cluster 4,0,254.14
jbfdoaln-1,Cluster 7,0,281.05
feihgikc-1,Cluster 24,0,172.32
jbfealkc-1,Cluster 7,0,176.20
feigoeho-1,Cluster 5,0,172.72
feinbanm-1,Cluster 9,0,238.11
feihoihj-1,Cluster 8,0,233.14
jbkmpjaj-1,Cluster 11,0,74.33
jbkmjnhp-1,Cluster 18,0,213.41
jbkimjgp-1,Cluster 9,0,204.15
ffdhkamf-1,Cluster 11,0,118.58
jbkopfpm-1,Cluster 8,0,301.55
jbkpjfba-1,Cluster 10,0,170.01
ffegholj-1,Cluster 4,0,195.48
jbklmlae-1,Cluster 11,0,192.41
jbklklcd-1,Cluster 11,0,304.04
ffdicnck-1,Cluster 11,0,194.67
ffdipnke-1,Cluster 11,0,158.68
ffegodnc-1,Cluster 9,0,245.38
jbkkkfbm-1,Cluster 10,0,175.70
ffdnenbn-1,Cluster 11,0,329.23
ffdhhknd-1,Cluster 11,0,306.48
ffdndijm-1,Cluster 10,0,194.94
ffdhhpad-1,Cluster 10,0,165.00
ffehakeh-1,Cluster 16,0,124.63
ffdmikpp-1,Cluster 9,0,105.58
ffdiipcd-1,Cluster 11,0,296.50
ffdmoakl-1,Cluster 4,0,160.62
ffdmijpb-1,Cluster 11,0,231.47
ffdhlcca-1,Cluster 11,0,231.52
ffdobojk-1,Cluster 7,0,183.11
jbknedbc-1,Cluster 5,0,115.42
ffdhcfnd-1,Cluster 11,0,223.66
ffdnohaf-1,Cluster 4,0,166.27
ffegojnf-1,Cluster 5,0,178.01
jbkopfjn-1,Cluster 7,0,132.89
jbkledej-1,Cluster 2,0,332.03
jbklhgdj-1,Cluster 13,0,261.95
jbkjemii-1,Cluster 7,0,117.14
ffdnedpn-1,Cluster 11,0,294.24
ffdnpfdc-1,Cluster 11,0,301.01
ffcnaahj-1,Cluster 11,0,145.27
ffcnodpf-1,Cluster 7,0,115.15
ffcnibno-1,Cluster 4,0,119.30
ffckaehm-1,Cluster 11,0,262.45
ffdobeni-1,Cluster 11,0,255.40
ffegnbff-1,Cluster 9,0,129.78
ffcmnfma-1,Cluster 13,0,139.76
ffcnilfb-1,Cluster 7,0,115.10
ffcmikgd-1,Cluster 11,0,227.99
ffehfocm-1,Cluster 7,0,225.15
ffckbijl-1,Cluster 11,0,196.52
ffcmdmij-1,Cluster 7,0,103.18
ffcjoafi-1,Cluster 7,0,79.84
ffehfeph-1,Cluster 9,0,232.28
ffcmpffc-1,Cluster 11,0,153.26
ffcnhdab-1,Cluster 18,0,240.14
ffdimjko-1,Cluster 11,0,325.67
jbfhhdmg-1,Cluster 18,0,176.70
jbfinagd-1,Cluster 4,0,257.21
jbfjcldn-1,Cluster 11,0,421.80
jbfbfedj-1,Cluster 11,0,167.98
jbfgcjgl-1,Cluster 5,0,247.77
jbffkalg-1,Cluster 5,0,205.82
jbephpno-1,Cluster 10,0,227.45
jbfinkle-1,Cluster 11,0,91.89
jbffajaf-1,Cluster 10,0,294.64
jbfgpibn-1,Cluster 7,0,200.58
jbfiklap-1,Cluster 16,0,205.60
jbfgdjgh-1,Cluster 7,0,238.88
jbfdikng-1,Cluster 16,0,176.97
jbfdgffm-1,Cluster 16,0,226.37
jbfihojo-1,Cluster 11,0,222.58
jbfjjfcb-1,Cluster 11,0,285.61
jbeokifm-1,Cluster 4,0,177.42
jbfieggh-1,Cluster 16,0,200.27
jbfiamnc-1,Cluster 16,0,84.44
jbfjlfgd-1,Cluster 5,0,259.56
jbfjhham-1,Cluster 10,0,290.54
jbfigbmm-1,Cluster 11,0,234.90
jbfladcc-1,Cluster 4,0,176.88
jbfkjlmp-1,Cluster 16,0,247.32
jbfhoifi-1,Cluster 11,0,112.30
jbfdfidc-1,Cluster 3,0,344.18
jbfjjmbo-1,Cluster 5,0,128.20
jbfapikh-1,Cluster 13,0,146.08
jbepjaan-1,Cluster 8,0,210.92
jbfhhjhm-1,Cluster 18,0,272.97
jbeohlll-1,Cluster 11,0,312.71
jbeolifp-1,Cluster 11,0,143.64
jbeooajm-1,Cluster 11,0,238.97
jbeomaja-1,Cluster 16,0,188.53
jbfgdjco-1,Cluster 9,0,291.35
jbeokeii-1,Cluster 7,0,109.19
jbknhfcc-1,Cluster 4,0,133.39
jbknkmka-1,Cluster 11,0,306.66
jbkmiigo-1,Cluster 11,0,244.48
jbklckfj-1,Cluster 18,0,215.89
jbkmabjk-1,Cluster 2,0,312.62
jbkkmloj-1,Cluster 11,0,182.88
jbkloklj-1,Cluster 9,0,137.32
jbkjjpce-1,Cluster 5,0,126.80
jbknfanb-1,Cluster 8,0,100.65
jbklnned-1,Cluster 11,0,329.37
jbklecof-1,Cluster 11,0,289.50
jbklmnjn-1,Cluster 11,0,266.78
jbklapah-1,Cluster 11,0,299.30
ffbjjiga-1,Cluster 7,0,164.64
fffbomgj-1,Cluster 11,0,272.16
fffiflab-1,Cluster 13,0,313.52
ffgblchd-1,Cluster 2,0,140.12
ffgddjff-1,Cluster 13,0,88.46
fffefeka-1,Cluster 11,0,238.74
fffekdlk-1,Cluster 9,0,199.86
fffjhgdn-1,Cluster 13,0,202.21
ffgbjooc-1,Cluster 13,0,271.25
fffekahc-1,Cluster 11,0,164.10
fffbohph-1,Cluster 9,0,149.51
fffdagoa-1,Cluster 13,0,188.12
ffgbdcfi-1,Cluster 11,0,330.27
fffkhaph-1,Cluster 11,0,189.20
fffkfmif-1,Cluster 11,0,195.39
fffkbkcj-1,Cluster 11,0,205.64
fffkaklf-1,Cluster 13,0,254.37
fffjogdb-1,Cluster 13,0,74.91
fffjodco-1,Cluster 7,0,92.39
fffjmgbg-1,Cluster 7,0,132.67
fffjmcoa-1,Cluster 13,0,272.79
fffjjlec-1,Cluster 11,0,221.36
fffikmde-1,Cluster 11,0,242.71
ffgbihaa-1,Cluster 9,0,145.49
ffgdfkpn-1,Cluster 7,0,143.64
fffppabj-1,Cluster 13,0,332.67
fffcmimd-1,Cluster 7,0,190.38
fffckgep-1,Cluster 13,0,294.69
ffgalomf-1,Cluster 11,0,317.40
ffgdcoif-1,Cluster 9,0,243.66
ffgcoidg-1,Cluster 2,0,134.52
ffgclkpi-1,Cluster 7,0,31.74
ffgcleli-1,Cluster 13,0,102.91
ffgckmke-1,Cluster 11,0,323.54
ffgckkjm-1,Cluster 7,0,112.48
ffgcgjei-1,Cluster 13,0,111.04
ffgcfkmi-1,Cluster 2,0,132.94
ffgcebna-1,Cluster 7,0,106.57
ffgcdkne-1,Cluster 13,0,320.88
ffgcbobb-1,Cluster 8,0,79.43
ffgbpohh-1,Cluster 5,0,245.88
ffgbogkl-1,Cluster 3,0,320.93
fffcbgoo-1,Cluster 7,0,104.85
fffcilkp-1,Cluster 13,0,262.85
fffcilng-1,Cluster 5,0,207.58
fffdecbo-1,Cluster 2,0,215.71
ffgbmcmb-1,Cluster 13,0,215.89
fffdfkal-1,Cluster 13,0,181.21
fffdicin-1,Cluster 13,0,305.57
fffdjmok-1,Cluster 13,0,229.71
fffdkppg-1,Cluster 13,0,152.81
fffeabem-1,Cluster 7,0,145.22
ffgbnijj-1,Cluster 11,0,305.08
ffhkdjja-1,Cluster 18,0,251.25
ffhgmbig-1,Cluster 11,0,267.91
ffhjhcno-1,Cluster 5,0,109.41
ffglncel-1,Cluster 4,0,223.34
ffgmepgc-1,Cluster 5,0,172.18
ffccmboj-1,Cluster 9,0,180.85
ffhhfbbd-1,Cluster 10,0,133.03
ffealmej-1,Cluster 18,0,176.61
ffhhalhd-1,Cluster 9,0,216.43
ffdpmffe-1,Cluster 4,0,142.42
ffgkjieh-1,Cluster 9,0,219.37
ffeboheg-1,Cluster 9,0,234.45
ffhmbjkj-1,Cluster 4,0,178.01
ffcdbkoo-1,Cluster 7,0,337.23
ffhlppde-1,Cluster 7,0,245.83
ffeccdjb-1,Cluster 5,0,244.93
ffhlalgg-1,Cluster 4,0,219.19
ffhhecdj-1,Cluster 9,0,237.66
ffhheklg-1,Cluster 9,0,220.77
ffhjnlmf-1,Cluster 11,0,267.69
ffhlkemh-1,Cluster 17,0,126.30
ffhjlijg-1,Cluster 10,0,318.44
ffhegjhj-1,Cluster 2,0,220.32
ffebaipm-1,Cluster 9,0,252.51
ffhlldfk-1,Cluster 7,0,239.10
ffgmjdnh-1,Cluster 4,0,131.09
ffhmbimn-1,Cluster 9,0,247.64
ffhlmdde-1,Cluster 17,0,173.08
ffhkddgd-1,Cluster 18,0,278.07
ffhjgkdd-1,Cluster 5,0,240.59
ffhlnejh-1,Cluster 9,0,279.11
fffifhja-1,Cluster 2,0,407.58
ffhkabhb-1,Cluster 2,0,360.48
ffhjopch-1,Cluster 16,0,236.75
ffhjmkfj-1,Cluster 11,0,284.17
ffgmpafm-1,Cluster 13,0,201.40
ffgmngkg-1,Cluster 16,0,190.51
ffhgjpkf-1,Cluster 4,0,261.73
ffhekicb-1,Cluster 5,0,157.60
ffheionl-1,Cluster 18,0,260.69
ffhedbbd-1,Cluster 4,0,113.84
ffgmmbeo-1,Cluster 4,0,227.32
ffglpadh-1,Cluster 2,0,337.00
ffgloipi-1,Cluster 9,0,227.09
ffgloccb-1,Cluster 10,0,224.02
ffhefdfg-1,Cluster 9,0,203.47
ffffeakp-1,Cluster 18,0,150.42
fffiggnd-1,Cluster 13,0,178.19
fffefcai-1,Cluster 4,0,161.79
fffiggnf-1,Cluster 11,0,213.86
ffhiljca-1,Cluster 17,0,179.81
ffhjkelc-1,Cluster 9,0,238.15
fficijfn-1,Cluster 2,0,166.04
ffhikjgf-1,Cluster 11,0,303.09
ffhjfdhj-1,Cluster 9,0,151.05
ffibaogc-1,Cluster 10,0,135.20
ffhkblfb-1,Cluster 9,0,151.63
ffhjbeik-1,Cluster 17,0,211.38
ffhmmhah-1,Cluster 7,0,152.81
ffhipaad-1,Cluster 4,0,212.73
ffibepca-1,Cluster 9,0,205.10
ffhmnfna-1,Cluster 2,0,324.09
ffhkgbfj-1,Cluster 9,0,155.74
ffhjcmki-1,Cluster 5,0,251.66
ffiaocfh-1,Cluster 4,0,178.46
ffhmodpk-1,Cluster 10,0,195.57
ffiaoaoe-1,Cluster 9,0,99.39
fffeohnc-1,Cluster 9,0,174.94
