#Selection names: 4s2_F2, 4s2_F3, 4s2M_F3, 4s2M_F4
#Areas (µm^2): 31293112.3, 33774633.9, 34210131.1, 30623218.5
Selection,X,Y,Class,Color
4s2_F2,4695.038215926142,9291.337045710385,samples,#c2c2c2
4s2_F2,4717.588231199052,9307.459090528002,samples,#c2c2c2
4s2_F2,4862.582397198829,9427.193069927767,samples,#c2c2c2
4s2_F2,5090.167297102622,9584.97368526565,samples,#c2c2c2
4s2_F2,5165.1834496052625,9701.754272834609,samples,#c2c2c2
4s2_F2,5268.795384187419,9832.78063276395,samples,#c2c2c2
4s2_F2,5367.264942405334,9968.740894340062,samples,#c2c2c2
4s2_F2,5500.792998944309,10102.095221947813,samples,#c2c2c2
4s2_F2,5579.318475857679,10207.72241213217,samples,#c2c2c2
4s2_F2,5624.036302754809,10263.767365345122,samples,#c2c2c2
4s2_F2,5708.572800688537,10366.649638416136,samples,#c2c2c2
4s2_F2,5811.628802690777,10497.780235704213,samples,#c2c2c2
4s2_F2,5872.3991828330245,10607.05573344428,samples,#c2c2c2
4s2_F2,5938.277193553267,10754.899053916133,samples,#c2c2c2
4s2_F2,5965.100940534296,10826.822831442983,samples,#c2c2c2
4s2_F2,5969.200943311188,10834.883853851792,samples,#c2c2c2
4s2_F2,5971.806877279551,10846.69742117504,samples,#c2c2c2
4s2_F2,5977.956881444892,10882.48558100724,samples,#c2c2c2
4s2_F2,5980.00688283334,10888.56609360009,samples,#c2c2c2
4s2_F2,5980.00688283334,10898.329659534897,samples,#c2c2c2
4s2_F2,6003.668763266084,10962.122923080444,samples,#c2c2c2
4s2_F2,6017.0806367565965,11000.273796377292,samples,#c2c2c2
4s2_F2,6053.8416786036505,11110.139972483523,samples,#c2c2c2
4s2_F2,5938.505639707177,11176.336169021166,samples,#c2c2c2
4s2_F2,5984.983053393754,11256.387767949589,samples,#c2c2c2
4s2_F2,6070.079124347896,11383.607076736533,samples,#c2c2c2
4s2_F2,6139.427339775137,11463.711775370492,samples,#c2c2c2
4s2_F2,6190.387885743216,11574.758430986258,samples,#c2c2c2
4s2_F2,6194.241407230532,11755.949797612275,samples,#c2c2c2
4s2_F2,6267.966555528207,11834.560118819069,samples,#c2c2c2
4s2_F2,6288.197543336613,12010.68425640271,samples,#c2c2c2
4s2_F2,6306.896225356755,12160.425426008233,samples,#c2c2c2
4s2_F2,6295.252218500397,12260.252872411915,samples,#c2c2c2
4s2_F2,6291.611095835218,12312.260241146238,samples,#c2c2c2
4s2_F2,6276.477679758064,12348.785252881324,samples,#c2c2c2
4s2_F2,6261.708375947428,12393.768289140733,samples,#c2c2c2
4s2_F2,6175.360669077129,12452.147622539118,samples,#c2c2c2
4s2_F2,6081.267990871104,12523.195028543441,samples,#c2c2c2
4s2_F2,6081.343847593297,12644.71749749382,samples,#c2c2c2
4s2_F2,6113.423655407975,12801.536099279792,samples,#c2c2c2
4s2_F2,6130.7720877731135,12878.963055620397,samples,#c2c2c2
4s2_F2,6120.372131160692,12922.55032819149,samples,#c2c2c2
4s2_F2,6019.512841793737,13144.540502905978,samples,#c2c2c2
4s2_F2,5963.151488747112,13287.140492059292,samples,#c2c2c2
4s2_F2,5922.090245024989,13344.548859413626,samples,#c2c2c2
4s2_F2,5894.364613064087,13384.479837975103,samples,#c2c2c2
4s2_F2,5829.294716768434,13480.00620823054,samples,#c2c2c2
4s2_F2,5779.335479533277,13558.404130615196,samples,#c2c2c2
4s2_F2,5724.847595983305,13655.4628066589,samples,#c2c2c2
4s2_F2,5685.083502210652,13757.56595472832,samples,#c2c2c2
4s2_F2,5657.759910877364,13860.655240186226,samples,#c2c2c2
4s2_F2,5584.694716062752,13991.227416094023,samples,#c2c2c2
4s2_F2,5492.832225489151,14078.53850333615,samples,#c2c2c2
4s2_F2,5424.4513048236395,14216.110830072907,samples,#c2c2c2
4s2_F2,5349.951459691203,14353.667887933709,samples,#c2c2c2
4s2_F2,5318.852424097963,14414.921847535694,samples,#c2c2c2
4s2_F2,5263.574690825827,14530.962602385876,samples,#c2c2c2
4s2_F2,5272.5131833156165,14579.645712177191,samples,#c2c2c2
4s2_F2,5268.482672111213,14585.726224770042,samples,#c2c2c2
4s2_F2,5264.417415120565,14589.791481760689,samples,#c2c2c2
4s2_F2,5215.912297522749,14657.302544434438,samples,#c2c2c2
4s2_F2,5187.594481733192,14695.83562137998,samples,#c2c2c2
4s2_F2,5121.448132896072,14710.730889189423,samples,#c2c2c2
4s2_F2,5088.8857243468665,14736.64675218379,samples,#c2c2c2
4s2_F2,5060.241378873313,14761.712914752106,samples,#c2c2c2
4s2_F2,5034.759807207814,14813.77122752112,samples,#c2c2c2
4s2_F2,4991.821612345017,14848.835531769231,samples,#c2c2c2
4s2_F2,4942.529546518575,14905.671049155786,samples,#c2c2c2
4s2_F2,4940.5563533069835,14987.176202245171,samples,#c2c2c2
4s2_F2,4943.296858645624,15128.316422769683,samples,#c2c2c2
4s2_F2,4834.730885801027,15186.676421164637,samples,#c2c2c2
4s2_F2,4799.9026094490355,15222.137252278239,samples,#c2c2c2
4s2_F2,4721.10705660715,15302.528353697922,samples,#c2c2c2
4s2_F2,4640.517691754725,15371.59011610367,samples,#c2c2c2
4s2_F2,4564.356210233577,15467.162531802016,samples,#c2c2c2
4s2_F2,4385.088302569819,15584.846040809221,samples,#c2c2c2
4s2_F2,4309.88037374901,15615.416373915145,samples,#c2c2c2
4s2_F2,4257.907031022606,15651.415348631906,samples,#c2c2c2
4s2_F2,4195.312432970638,15659.855706197288,samples,#c2c2c2
4s2_F2,4149.494626095686,15665.48627811513,samples,#c2c2c2
4s2_F2,4064.193720864569,15674.693911470014,samples,#c2c2c2
4s2_F2,3909.4260040699505,15705.975557099828,samples,#c2c2c2
4s2_F2,3873.3609415422725,15704.25727401605,samples,#c2c2c2
4s2_F2,3830.1017487407485,15723.111182358394,samples,#c2c2c2
4s2_F2,3742.903602796863,15716.171962212364,samples,#c2c2c2
4s2_F2,3628.968002361525,15702.62952361088,samples,#c2c2c2
4s2_F2,3595.264589704015,15696.479519445542,samples,#c2c2c2
4s2_F2,3526.2771997346695,15700.81126673264,samples,#c2c2c2
4s2_F2,3493.629821142859,15697.535199534455,samples,#c2c2c2
4s2_F2,3423.850533932893,15669.863288992921,samples,#c2c2c2
4s2_F2,3310.2101593512334,15630.671000297782,samples,#c2c2c2
4s2_F2,3223.971117891507,15613.054886671644,samples,#c2c2c2
4s2_F2,3138.3922463704303,15601.693014569573,samples,#c2c2c2
4s2_F2,3096.2108618691773,15603.708270171777,samples,#c2c2c2
4s2_F2,3080.019325479075,15599.608267394886,samples,#c2c2c2
4s2_F2,3001.1463907032557,15560.38027472444,samples,#c2c2c2
4s2_F2,2921.960743851233,15526.676862066934,samples,#c2c2c2
4s2_F2,2835.339498742811,15495.648874950279,samples,#c2c2c2
